date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:40	103/103	---M-Z	200	added ('OK')	text/plain	etag:%2273e930e291aba632d54de9570c7e1f0e%22	https://rqtcmuscat.framer.website/robots.txt		(from )
18:44:41	214674/214674	---M-Z	200	added ('OK')	text/html	etag:%2218bb57f964592635e4445d2099cabe26%22	https://rqtcmuscat.framer.website/	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/rqtcmuscat.framer.website/index.html	(from )
18:44:41	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://rqtcmuscat.framer.website/)
18:44:41	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://rqtcmuscat.framer.website/)
18:44:41	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://rqtcmuscat.framer.website/)
18:44:43	166610/166610	---M-Z	200	added ('OK')	text/html	etag:%227b8c8707c0a4676b13d82635198d46f6%22	https://rqtcmuscat.framer.website/about-us	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/rqtcmuscat.framer.website/about-us.html	(from https://rqtcmuscat.framer.website/)
18:44:44	225056/225056	---M-Z	200	added ('OK')	text/html	etag:%22642a7758bc6c0fdd3e9aae526d0b6468%22	https://rqtcmuscat.framer.website/portfolio	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/rqtcmuscat.framer.website/portfolio.html	(from https://rqtcmuscat.framer.website/)
18:44:46	186943/186943	---M-Z	200	added ('OK')	text/html	etag:%224fb63e73b150acd44c818241964c737a%22	https://rqtcmuscat.framer.website/quote	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/rqtcmuscat.framer.website/quote.html	(from https://rqtcmuscat.framer.website/)
18:44:46	540705/540705	---MC-	200	added ('OK')	image/jpeg	etag:%22d01ded9853048f3723dcfbfd4a494d5d%22	https://framerusercontent.com/images/s1UUGNYLR93m1uGM28FxhUyV38.jpg	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/s1UUGNYLR93m1uGM28FxhUyV38.jpg	(from https://rqtcmuscat.framer.website/)
18:44:46	46655/46655	---MC-	200	added ('OK')	image/png	etag:%22e06b4fe8ba4a211ba886f8aeeac1fc5d%22	https://framerusercontent.com/images/ZyR1uVEOUfT5nn7UWkS719Lw.jpg	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/ZyR1uVEOUfT5nn7UWkS719Lw.png	(from https://rqtcmuscat.framer.website/)
18:44:48	98305/98305	---MC-	200	added ('OK')	image/jpeg	etag:%2242c23b4f10bcb608fc16472983e81071%22	https://framerusercontent.com/images/Gr20AbnYi5IUOqfMkUmtu4rr87k.jpg?scale-down-to=1024	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/Gr20AbnYi5IUOqfMkUmtu4rr87kbf23.jpg	(from https://rqtcmuscat.framer.website/)
18:44:49	27380/27380	---MC-	200	added ('OK')	image/png	etag:%226a7df1daa6e657d049fadff2d09e9fba%22	https://framerusercontent.com/images/5OMefKjXzmsiUw6cZ0Fu1jqjpGc.jpg	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/5OMefKjXzmsiUw6cZ0Fu1jqjpGc.png	(from https://rqtcmuscat.framer.website/)
18:44:49	18471/18471	---MC-	200	added ('OK')	image/png	etag:%22f9858513ed92584c656a0ac507031314%22	https://framerusercontent.com/images/xWqgAwB6xlOU6QVQhZ6EdjJPmU.jpg	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/xWqgAwB6xlOU6QVQhZ6EdjJPmU.png	(from https://rqtcmuscat.framer.website/portfolio)
18:44:50	211217/211217	---MC-	200	added ('OK')	image/jpeg	etag:%2221da575e34ce59049ab4aeb23fbdc127%22	https://framerusercontent.com/images/iGjCQvWogCU6z7pexuDaloGTbYA.jpg?scale-down-to=1024	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/iGjCQvWogCU6z7pexuDaloGTbYAbf23.jpg	(from https://rqtcmuscat.framer.website/portfolio)
18:44:50	40455/40455	---MC-	200	added ('OK')	image/jpeg	etag:%2236d3d37f1bb43af2f80b1458d7d9c907%22	https://framerusercontent.com/images/L560yCaLoUCoCDUaes0NDBo4y0.jpg?scale-down-to=1024	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/L560yCaLoUCoCDUaes0NDBo4y0bf23.jpg	(from https://rqtcmuscat.framer.website/portfolio)
18:44:51	30366/30366	---MC-	200	added ('OK')	image/png	etag:%2278db3088af9c70f9d5e9c0e918cfbacb%22	https://framerusercontent.com/images/tNbeOEkoOICzWrfaqKNk4vGxZmI.jpg	C:/Users/kamran%20tech.DESKTOP-B43G7I7/Documents/Raisa%20Qureshi/RQTC/framerusercontent.com/images/tNbeOEkoOICzWrfaqKNk4vGxZmI.png	(from https://rqtcmuscat.framer.website/portfolio)
